"","q","avg.loss.mu.est.DPMM_ng1","avg.loss.mu.est.DPMM_ng2","avg.loss.mu.est.DPMM_ng3","avg.loss.mu.est.DPMM_ng4","avg.loss.sigma2d.est.DPMM_ng1","avg.loss.sigma2d.est.DPMM_ng2","avg.loss.sigma2d.est.DPMM_ng3","avg.loss.sigma2d.est.DPMM_ng4","prob.2_ng1","prob.2_ng2","prob.2_ng3","prob.2_ng4","prob.3_ng1","prob.3_ng2","prob.3_ng3","prob.3_ng4"
"result.1",20,0.0424006301592351,0.0413125424281528,0.0417245862404321,0.0424557317181171,0.135924289260568,0.140109847520085,0.164225938841669,0.177544199497801,0.199549488872316,0.18349916169404,0.153239350423689,0.135635134619255,0.00478369085460848,0.108391221998315,0.126574331969041,0.120407328932604
"result.2",20,0.0477016509526248,0.0528433446827951,0.0575415746261862,0.0591290554488869,0.0392995454199757,0.0505018930853322,0.0538922155243707,0.054840590102367,0.0144392407305522,0.192492708791863,0.147739826647009,0.132926161625691,0.000709485690045464,0.126149081323724,0.126617107880771,0.119732184729391
"result.3",20,0.0992284599002068,0.0854057541825097,0.0866777061340455,0.0855938409901999,0.0752233319840337,0.0719719920097434,0.084098342983242,0.0896727748592966,0.0579857963383206,0.186612467422522,0.149903577650582,0.133873466072749,0.00338092611316009,0.116868778837652,0.126670880288199,0.119603131446933
"result.4",20,0.153646034565918,0.135038830362096,0.130488076519438,0.132834332450982,0.14585808577364,0.149886674173612,0.147901234183442,0.147931500924545,0.054407046756088,0.164373643441711,0.152587687451342,0.135196191598998,0.0032261703152805,0.0980243131856038,0.12584026016352,0.119990162351604
"result.5",20,0.0697611466358997,0.0642496979794277,0.0590717311107537,0.0589348477499647,0.0585234652041296,0.0667645152434319,0.0779667226893287,0.0731137483434139,0.0565337440380925,0.170032178586601,0.151956401518654,0.134954756173652,0.00303473879727934,0.10276908033747,0.126708615368442,0.120219687343615
"result.6",20,0.188800837464358,0.127673164662402,0.139745114808278,0.139852503588823,0.237809521041214,0.200213774471432,0.221171956550392,0.227253885937945,0.0579789293078424,0.175145647151863,0.15064059738007,0.134444499154713,0.00282048673239257,0.108874549539475,0.126619859371489,0.120166955877531
"result.7",20,0.140055822916441,0.187993236016247,0.200861220005095,0.207876309107616,0.110902098168005,0.203726435513243,0.256563865449397,0.284392945798858,0.205338961064897,0.179351302888124,0.152328616358945,0.135417139989714,0.00640339771425274,0.112989381698774,0.126364940668381,0.120049008394301
"result.8",20,0.0641948446186689,0.0656244392573409,0.0677528125370222,0.0659199077477642,0.0717104576005782,0.0774490033081147,0.0760192557260864,0.0777730189129274,0.0192358834867086,0.193774965558948,0.148581584452312,0.133267735849578,0.000664885544455604,0.126538590879685,0.12667472123453,0.119506958096663
"result.9",20,0.0638293418472754,0.07430949503754,0.0878148317331457,0.0894025293981823,0.180401101008427,0.159220033337998,0.148205138125621,0.165057580609437,0.104824993743276,0.150306184858806,0.153183313527403,0.136435918377148,0.00332269878197354,0.09240003499262,0.124521956134926,0.120146706725886
"result.10",20,0.161209811259293,0.136274694991412,0.135828990750254,0.136470433941015,0.24051473691871,0.229623828782858,0.222546241950976,0.226581186771958,0.198969117071862,0.176917172668083,0.152442075210375,0.136812025209662,0.00447502249815402,0.102007728495588,0.123376609061686,0.119993909956617
