"","measure","value","value","value","value","value","value","value","value","value","value","value","value","value"
"1","q",20,60,100,140,180,220,260,300,340,380,420,460,500
"2","avg.loss.mu.est.true.oracle",0.000205612549329763,1.90569329848626e-05,8.79522303252109e-06,4.44927778851216e-06,2.84633118969711e-06,1.62550949889145e-06,1.26557918867519e-06,9.00837028871201e-07,7.77042836872738e-07,5.86013682974656e-07,4.98900907051816e-07,3.7452743452044e-07,3.3415746764881e-07
"3","avg.loss.mu.est.sample.mean",0.351686716222655,0.356398579231753,0.356740514469302,0.355252865164074,0.357920120111049,0.356137635513984,0.356376699231631,0.358815222899732,0.357948606203583,0.359577146500018,0.357385184882915,0.359134870915038,0.358264730799869
"4","avg.loss.mu.est.EBMLE",0.254205722316669,0.247670044734858,0.243831042677589,0.243707903513296,0.244460171916347,0.243327499251505,0.242266565158371,0.244119844761369,0.244089663949201,0.243126642675531,0.243368155035268,0.244455478448729,0.243973124727099
"5","avg.loss.mu.est.EBMOM",0.256166568087314,0.248152965971258,0.243773315990968,0.243645091624112,0.244254081873046,0.24314655444232,0.241978277587945,0.243914512972508,0.243818256683351,0.242753282084204,0.243067727553412,0.24418211383079,0.243646408109462
"6","avg.loss.mu.est.JS",0.325920855619368,0.336451876574267,0.338612112891035,0.338170243789397,0.341421151672961,0.339808923823855,0.340584542667887,0.342960943760235,0.342492576098125,0.343795430848799,0.341911929138342,0.343681367949647,0.343189671427426
"7","avg.loss.mu.est.oracle",0.209357368585994,0.228440451579348,0.229893491544534,0.23180987353203,0.233587508804611,0.233338402547093,0.232733318463321,0.23489522791006,0.234972162205771,0.234501854645557,0.234620186580538,0.23593616231342,0.235306683571349
"8","avg.loss.mu.est.SURE.G",0.261429103931284,0.251319361706074,0.244941357463376,0.244518111114487,0.244525723278821,0.243432314818761,0.241852036166213,0.243917999679068,0.243649781569746,0.242214856127788,0.242735805666874,0.243872378879538,0.243003861448769
"9","avg.loss.mu.est.SURE.M",0.264583474576214,0.250064428591116,0.242248731694292,0.241157007607588,0.240862943747602,0.239753389387012,0.237710597397397,0.239811051387576,0.239352403643302,0.238075885907534,0.238100921279613,0.239231833245562,0.238143813647861
"10","avg.loss.mu.est.SURE.SG",0.288089305318825,0.279174885192133,0.271144687466353,0.271140242167303,0.269651668175985,0.268284803941738,0.265808443662968,0.268328597371409,0.267872854085078,0.266204648532515,0.267016394894972,0.267298158835789,0.267058641539445
"11","avg.loss.mu.est.SURE.SM",0.300988060685052,0.282955705261316,0.272774172023098,0.270819805364013,0.268333958998764,0.267290200700009,0.26336402223046,0.266449491993123,0.265564495591821,0.263923968068803,0.264181576819759,0.263924162054203,0.263636757391731
"12","avg.loss.mu.est.gl",0.292347414268039,0.259026718891251,0.255732090143155,0.256679527003684,0.2550052970556,0.254566519945036,0.252012723140615,0.255078914283101,0.255879774704761,0.254333651478833,0.255312249461512,0.255240780216658,0.255176495056418
"13","avg.loss.mu.est.gl.SURE",0.29509537669275,0.267965577435567,0.261998582961392,0.263159006383165,0.261562909680564,0.260541804371779,0.258502291025388,0.260531841085183,0.260512378611465,0.258807063584975,0.25970168085661,0.259817511961946,0.258960434506317
"14","avg.loss.mu.est.gl.dynamic",0.301033924001506,0.281474970956819,0.275893886723763,0.272071925289528,0.271390064896074,0.268522450150334,0.268452399815282,0.269041595398018,0.268558703541179,0.268141330080812,0.267159239226436,0.267888067072197,0.26725047958213
"15","avg.loss.mu.est.gl.dynamicMin",0.301726631612701,0.285570284901645,0.280937749933239,0.27771571575471,0.277748764279685,0.274423839949098,0.275155299576237,0.275833038546769,0.275225949271704,0.274565193662885,0.27369791323861,0.274269824698631,0.273226373561071
"16","avg.loss.mu.est.gl.dynamicMin2",0.300775700054667,0.283286716459477,0.278640893207181,0.275882859094041,0.275772589413014,0.272499958730027,0.273192814576928,0.273738267771018,0.273402929280629,0.272645730606002,0.27198592060171,0.272518077454979,0.271775883803454
"17","avg.loss.mu.est.gl.dynamicMin3",0.300261441251876,0.28135977092658,0.276675406026105,0.274084032613256,0.27404130651944,0.271046977308892,0.271802310712498,0.272283952011585,0.271802589418683,0.27135229192219,0.2705740071757,0.27135342570611,0.270642314456087
"18","avg.loss.mu.est.SURE.M.Double",0.288100670689497,0.271278811853253,0.266508120518983,0.265344646727745,0.266102287502787,0.264113813118628,0.264619794233222,0.265286165903625,0.265411517329254,0.264924172138791,0.264332937676589,0.265282457568652,0.26497399775255
"19","avg.loss.mu.est.SURE.G.Double",0.28566050474709,0.271012836530638,0.2664527070312,0.265289819529449,0.266078934784379,0.264093862039794,0.264607067409973,0.265280562900812,0.265402581406559,0.264922197004597,0.264328168123574,0.265280037969616,0.26497252965977
"20","avg.loss.mu.est.SURE.SG.Double",0.285660598893189,0.271012680737408,0.266452333608081,0.265289549298924,0.26607866676703,0.264093501486271,0.264606727889143,0.26528020746833,0.265402238978992,0.264922004252658,0.264327879985312,0.265279776242122,0.264972268253998
"21","avg.loss.mu.est.SURE.SM.Double",0.288100751446796,0.271278681066786,0.266507799764803,0.265344383065126,0.266102008074015,0.264113440010659,0.264619442256163,0.265285807259176,0.265411172226604,0.264923965808971,0.26433264436811,0.265282190557877,0.264973731004552
"22","avg.loss.mu.est.DPMM",0.268161746118875,0.248807531080053,0.239330974275775,0.235331669503479,0.235725360803549,0.233894153358518,0.233556257051046,0.23468639380736,0.234415140028596,0.233605927962919,0.233227115976557,0.234744386179153,0.234005714509897
"23","avg.loss.mu.est.DPMM_ng",0.26825965938012,0.248872965932316,0.239282939814362,0.235558497628408,0.235907434547405,0.23412676398559,0.233523593492717,0.234494281521704,0.234147794992426,0.233176688612986,0.232756234950561,0.234022872450188,0.233149829200662
"24","avg.loss.sigma2d.est.sample.var",2.82106513361614,2.83872539917287,2.87869180730118,2.85825255070999,2.91570819170765,2.91162472520874,2.84376501938099,2.94151716172393,2.94199796096482,2.92471922442561,2.91834444153128,2.92437145862276,2.89324428390646
"25","avg.loss.sigma2d.est.SURE.M.Double",1.4664925198271,1.36477003604195,1.35252850360996,1.30992067072813,1.32804222709432,1.32533796241196,1.31055895858501,1.32072763435985,1.31388300983105,1.31481401423259,1.31337876865666,1.31525556504823,1.30582890689507
"26","avg.loss.sigma2d.est.SURE.G.Double",1.46648931386601,1.3647700381384,1.35252852267524,1.30992066452323,1.328042227025,1.32533796215922,1.31055896207582,1.3207276366114,1.31388300354577,1.31481401616229,1.31337877004128,1.31525556495257,1.30582890743078
"27","avg.loss.sigma2d.est.SURE.SG.Double",1.46649309626446,1.36477348701311,1.35253161167507,1.30992552774341,1.3280472777344,1.32534437112048,1.31056612587312,1.32073200833965,1.31388835829553,1.31481995268234,1.31338504629357,1.31526130711734,1.30583530660872
"28","avg.loss.sigma2d.est.SURE.SM.Double",1.46649320350462,1.36477225303171,1.3525304943109,1.30992532569521,1.32804722696875,1.32534426884787,1.31056625843179,1.32073211827833,1.31388831487792,1.31481995193169,1.31338510250367,1.31526133021671,1.30583532316082
"29","avg.loss.sigma2d.est.DPMM",1.70363238364852,1.31897425714991,1.16509500289762,1.07924237502358,1.05599286348807,1.03558506753575,1.00680513554528,1.01820644633704,1.00222542193894,1.00657328199037,1.00212025437316,1.00280642164734,0.989527868004897
"30","avg.loss.sigma2d.est.DPMM_ng",1.40590100273004,1.28200506620039,1.22836014174359,1.16897541456468,1.17933874771089,1.16741957727039,1.15581946344519,1.15510451900256,1.1453086429093,1.15046700608729,1.14606820894641,1.14425344660709,1.1341235204599
