,measure,value,value,value,value,value,value,value,value,value,value,value,value,value
1,q,20,60,100,140,180,220,260,300,340,380,420,460,500
2,avg.loss.mu.est.true.oracle,0.0002082818,2.60826190366571E-05,9.00051677711623E-06,4.86127263770981E-06,2.80990154584069E-06,0.000001938,1.43058066186864E-06,1.13253907846684E-06,8.46301351980535E-07,0.000000619,5.9718686259292E-07,4.57410494278481E-07,3.87616255468781E-07
3,avg.loss.mu.est.sample.mean,0.5506642788,0.5501539574,0.5471783369,0.5468282648,0.5484922624,0.5493678431,0.5502004399,0.5488930808,0.5500403578,0.5510097027,0.5506560712,0.551303509,0.5504089465
4,avg.loss.mu.est.EBMLE,0.1031231603,0.0829415233,0.0776245363,0.0753592692,0.074451067,0.0732482933,0.0728084063,0.0725241594,0.0721637,0.0718325819,0.0716352558,0.0716155254,0.0715119179
5,avg.loss.mu.est.EBMOM,0.1493702628,0.0992723957,0.0818755253,0.0803934293,0.0769225659,0.0778904369,0.0749962863,0.074425639,0.073970177,0.0734617148,0.0731963065,0.0730563085,0.0728731899
6,avg.loss.mu.est.JS,0.1270268677,0.0933668017,0.0848260779,0.0819974052,0.0803882338,0.0793257679,0.0785827219,0.0778739408,0.0775026932,0.0769496867,0.076719573,0.0766056494,0.0763940332
7,avg.loss.mu.est.oracle,0.0666314663,0.0689701283,0.0691242254,0.0689948727,0.0690481703,0.0692136702,0.0693247336,0.0694126628,0.0693447808,0.0693677366,0.0695621858,0.0695903207,0.0696538678
8,avg.loss.mu.est.SURE.G,0.1184318344,0.0885179742,0.0808991411,0.0780685451,0.0764352099,0.0750954938,0.0743322802,0.0738999597,0.0733025306,0.072880662,0.0726712477,0.0725309136,0.0724527249
9,avg.loss.mu.est.SURE.M,0.1189280974,0.0892355676,0.0815145156,0.0785366349,0.0768421959,0.0753956679,0.0746374518,0.0741519875,0.0734995889,0.0730626727,0.0728483558,0.0727037936,0.0726172167
10,avg.loss.mu.est.SURE.SG,0.1400898319,0.1000174096,0.0892605942,0.0851371253,0.0823297702,0.080398021,0.0791844063,0.0780451207,0.0777372821,0.0769368791,0.0763868957,0.0760393045,0.0758551112
11,avg.loss.mu.est.SURE.SM,0.1537160988,0.1027932294,0.0908873512,0.0860335784,0.0831093282,0.0809705936,0.0796401798,0.0784772729,0.0780778839,0.0772130993,0.0766311504,0.0762771803,0.076098108
12,avg.loss.mu.est.gl,0.1772189341,0.1151660235,0.1030016655,0.0986187242,0.093434343,0.09208668,0.0892025387,0.0864901194,0.0848541075,0.0849757765,0.0840038316,0.0828309776,0.0821633629
13,avg.loss.mu.est.gl.SURE,0.1951055774,0.1170064156,0.1008506657,0.0947703395,0.0926674522,0.088245238,0.0854801127,0.0844608254,0.0832010799,0.08231558,0.0810691298,0.0804602205,0.0800651682
14,avg.loss.mu.est.gl.dynamic,0.2242270217,0.1589240513,0.129761531,0.1189048562,0.1102563558,0.1053343324,0.0999478398,0.0971918107,0.0951983975,0.0925219885,0.0913698196,0.0895296855,0.0884257196
15,avg.loss.mu.est.gl.dynamicMin,0.2200816309,0.1549269434,0.1345538756,0.1268993322,0.1212908086,0.115469105,0.1124339169,0.1105242753,0.1083660743,0.107145597,0.1044807825,0.1034630806,0.10241462
16,avg.loss.mu.est.gl.dynamicMin2,0.1899465778,0.1400981852,0.1229385179,0.1166225851,0.1117715472,0.1082264179,0.1045610418,0.1033852523,0.1016773665,0.0999557787,0.0981390566,0.0976125688,0.097114864
17,avg.loss.mu.est.gl.dynamicMin3,0.1813522029,0.1293295974,0.1150409616,0.1086118345,0.1051131361,0.1024462416,0.099177806,0.0982841417,0.0965762547,0.0957104907,0.0941331573,0.0935517881,0.0928987601
18,avg.loss.mu.est.DPMM_ng,0.1362799557,0.1050122225,0.095333195,0.0903940554,0.087444322,0.0849097562,0.0836794132,0.0817666887,0.0809520637,0.0799752841,0.0794200807,0.0789333417,0.0783811309
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,
